Symbol,Name,Unicode,LaTeX hotstring,Short hotstring,Script Latex,Script short
α,alpha,{U+03B1},\alpha,\a,::\alpha::{U+03B1} ; α alpha,::\a::{U+03B1} ; α alpha
Α,Alpha,{U+0391},\Alpha,\A,::\Alpha::{U+0391} ; Α Alpha,::\A::{U+0391} ; Α Alpha
β,beta,{U+03B2},\beta,\b,::\beta::{U+03B2} ; β beta,::\b::{U+03B2} ; β beta
Β,Beta,{U+0392},\Beta,\B,::\Beta::{U+0392} ; Β Beta,::\B::{U+0392} ; Β Beta
γ,gamma,{U+03B3},\gamma,\g,::\gamma::{U+03B3} ; γ gamma,::\g::{U+03B3} ; γ gamma
Γ,Gamma,{U+0393},\Gamma,\G,::\Gamma::{U+0393} ; Γ Gamma,::\G::{U+0393} ; Γ Gamma
δ,delta,{U+03B4},\delta,\d,::\delta::{U+03B4} ; δ delta,::\d::{U+03B4} ; δ delta
Δ,Delta,{U+0394},\Delta,\D,::\Delta::{U+0394} ; Δ Delta,::\D::{U+0394} ; Δ Delta
ε,epislon,{U+03B5},\varepsilon,/e,::\varepsilon::{U+03B5} ; ε epislon,::/e::{U+03B5} ; ε epislon
ϵ,Lunate epsilon,{U+03F5},\epsilon,\e,::\epsilon::{U+03F5} ; ϵ Lunate epsilon,::\e::{U+03F5} ; ϵ Lunate epsilon
Ε,Epislon,{U+0395},\Epislon,\E,::\Epislon::{U+0395} ; Ε Epislon,::\E::{U+0395} ; Ε Epislon
ζ,zeta,{U+03B6},\zeta,\z,::\zeta::{U+03B6} ; ζ zeta,::\z::{U+03B6} ; ζ zeta
Ζ,Zeta,{U+0396},\Zeta,\Z,::\Zeta::{U+0396} ; Ζ Zeta,::\Z::{U+0396} ; Ζ Zeta
η,eta,{U+03B7},\eta,\h,::\eta::{U+03B7} ; η eta,::\h::{U+03B7} ; η eta
Η,Eta,{U+0397},\Eta,\H,::\Eta::{U+0397} ; Η Eta,::\H::{U+0397} ; Η Eta
θ,theta,{U+03B8},\theta,\j,::\theta::{U+03B8} ; θ theta,::\j::{U+03B8} ; θ theta
